n,algo1,algo2,algo3
2,1.4603137969970703e-06,1.1324882507324219e-06,1.7285346984863281e-06
4,2.2351741790771484e-06,9.238719940185547e-07,2.473592758178711e-06
8,4.559755325317383e-06,2.2351741790771484e-06,4.6193599700927734e-06
16,7.808208465576172e-06,2.5033950805664062e-06,4.947185516357422e-06
32,1.704692840576172e-05,4.0531158447265625e-06,1.049041748046875e-05
64,3.758072853088379e-05,7.569789886474609e-06,1.7851591110229492e-05
128,8.276104927062988e-05,1.0609626770019531e-05,4.0411949157714844e-05
256,0.00018647313117980957,2.327561378479004e-05,7.253885269165039e-05
512,0.000397413969039917,4.7713518142700195e-05,0.00014403462409973145
1024,0.0008555054664611816,0.00010088086128234863,0.00026485323905944824
2048,0.0018896162509918213,0.00022652745246887207,0.0005882084369659424
4096,0.004018932580947876,0.0004450082778930664,0.0011315345764160156
8192,0.008647143840789795,0.0007562935352325439,0.0022576451301574707
16384,0.018650412559509277,0.0017397105693817139,0.004594087600708008
32768,0.03945872187614441,0.003886103630065918,0.010441333055496216
65536,0.08529195189476013,0.006217479705810547,0.022344917058944702
131072,0.1792532205581665,0.012395203113555908,0.05049857497215271
262144,0.3938913941383362,0.03013548254966736,0.12789839506149292
524288,0.8535740971565247,0.12073922157287598,0.3334101736545563
